disease	samples	tissue
MyGr	0	muscle
MyGr	20	stool
MyGr	0	kidney
MyGr	0	skin
MyGr	12	b-lymphocyte
SLE	862	blood/immune cells
SLE	0	cartilage
SLE	0	joint
SLE	0	knee
SLE	0	synovium
SLE	6	spleen
SLE	0	lymph node
SLE	0	retina
SLE	0	bone marrow
SLE	0	fibroblasts
SLE	1345	not defined
SLE	0	soft tissue
SLE	0	salivary gland
SLE	0	muscle
SLE	0	stool
SLE	6	kidney
SLE	0	skin
SLE	47	fece
